Reach,River Sta,Profile,Q Total,SA Chan,SA Left,SA Right,SA Total
,,,(cfs),(acres),(acres),(acres),(acres)
Mariposa Bypass,4000,PF 25,2500,13.68,9.58,25.82,49.07
Mariposa Bypass,4000,PF 26,2600,13.68,9.82,29.19,52.68
Mariposa Bypass,4000,PF 27,2700,13.68,10.16,33.01,56.85
Mariposa Bypass,4000,PF 28,2800,13.68,10.53,36.58,60.79
Mariposa Bypass,4000,PF 29,2900,13.68,10.9,39.91,64.48
Mariposa Bypass,4000,PF 30,3000,13.68,11.35,42.41,67.44
Mariposa Bypass,4000,PF 31,3100,13.68,11.8,45.15,70.63
Mariposa Bypass,4000,PF 32,3200,13.68,12.16,46.97,72.81
Mariposa Bypass,4000,PF 33,3300,13.68,12.5,48.5,74.68
Mariposa Bypass,4000,PF 34,3400,13.68,12.94,49.75,76.37
Mariposa Bypass,4000,PF 35,3500,13.68,13.35,50.56,77.58
Mariposa Bypass,4000,PF 36,3600,13.68,13.78,51.3,78.76
Mariposa Bypass,4000,PF 37,3700,13.68,14.2,52.11,79.99
Mariposa Bypass,4000,PF 38,3800,13.68,14.66,53.02,81.36
Mariposa Bypass,4000,PF 39,3900,13.68,14.93,53.86,82.47
Mariposa Bypass,4000,PF 40,4000,13.68,15.14,54.31,83.12
Mariposa Bypass,4000,PF 41,4100,13.68,15.35,54.92,83.95
Mariposa Bypass,4000,PF 42,4200,13.68,15.65,55.34,84.66
Mariposa Bypass,4000,PF 43,4300,13.68,15.95,55.58,85.2
Mariposa Bypass,4000,PF 44,4400,13.68,16.21,55.81,85.7
Mariposa Bypass,4000,PF 45,4500,13.68,16.38,56.11,86.17
,,,,,,,
Mariposa Bypass,3585,PF 1,100,10.28,0.01,0.01,10.3
Mariposa Bypass,3585,PF 2,200,10.55,0.05,0.02,10.62
Mariposa Bypass,3585,PF 3,300,10.68,0.35,0.04,11.07
Mariposa Bypass,3585,PF 4,400,10.8,0.47,0.21,11.47
Mariposa Bypass,3585,PF 5,500,10.84,0.58,0.94,12.36
Mariposa Bypass,3585,PF 6,600,10.87,0.69,1.21,12.77
Mariposa Bypass,3585,PF 7,700,10.89,0.77,1.29,12.94
Mariposa Bypass,3585,PF 8,800,10.9,0.98,1.35,13.23
Mariposa Bypass,3585,PF 9,900,10.91,1.19,1.68,13.78
Mariposa Bypass,3585,PF 10,1000,10.91,1.54,2.35,14.81
Mariposa Bypass,3585,PF 11,1100,10.92,1.77,2.9,15.6
Mariposa Bypass,3585,PF 12,1200,10.92,1.95,3.35,16.22
Mariposa Bypass,3585,PF 13,1300,10.93,2.08,4.05,17.06
Mariposa Bypass,3585,PF 14,1400,10.93,2.32,4.95,18.19
