Reach,River Sta,Q Total,Max Chl Dpth,Hydr Depth,Hydr Depth L,Hydr Depth C,Hydr Depth R,Vel Total,Vel Left,Vel Chnl,Vel Right,W.S. Elev,Min Ch El
,,(cfs),(ft),(ft),(ft),(ft),(ft),(ft/s),(ft/s),(ft/s),(ft/s),(ft),(ft)
LESB,54601,4400,11.15,5.34,0.14,7.16,0.72,3.1,0.22,3.13,0.63,94.41,83.26
LESB,54601,4500,11.25,4.98,0.19,7.26,0.77,3.1,0.28,3.15,0.67,94.51,83.26
,,,,,,,,,,,,,
LESB,54436,100,5.25,4.15,,4.15,,0.23,,0.23,,84.38,79.13
LESB,54436,200,6.02,4.74,,4.74,,0.39,,0.39,,85.15,79.13
LESB,54436,300,6.66,5.26,,5.26,,0.52,,0.52,,85.79,79.13
LESB,54436,400,7.22,5.7,,5.7,,0.62,,0.62,,86.35,79.13
LESB,54436,500,7.69,5.97,,5.97,,0.72,,0.72,,86.82,79.13
LESB,54436,600,8.09,6.07,,6.07,,0.8,,0.8,,87.22,79.13
LESB,54436,700,8.46,5.95,,5.95,,0.88,,0.88,,87.59,79.13
LESB,54436,800,8.79,5.81,,5.81,,0.95,,0.95,,87.92,79.13
LESB,54436,900,9.12,5.97,,5.97,,1.01,,1.01,,88.25,79.13
LESB,54436,1000,9.42,6.09,,6.09,,1.07,,1.07,,88.55,79.13
LESB,54436,1100,9.69,6.25,,6.25,,1.13,,1.13,,88.82,79.13
LESB,54436,1200,9.96,6.42,,6.42,,1.18,,1.18,,89.09,79.13
LESB,54436,1300,10.21,6.6,,6.6,,1.23,,1.23,,89.34,79.13
LESB,54436,1400,10.46,6.78,,6.78,,1.27,,1.27,,89.59,79.13
LESB,54436,1500,10.71,6.96,,6.96,,1.32,,1.32,,89.84,79.13
LESB,54436,1600,10.95,7.13,,7.13,,1.36,,1.36,,90.08,79.13
LESB,54436,1700,11.19,7.29,,7.29,,1.4,,1.4,,90.32,79.13
LESB,54436,1800,11.4,7.43,,7.43,,1.44,,1.44,,90.53,79.13
LESB,54436,1900,11.62,7.57,,7.57,,1.47,,1.47,,90.75,79.13
LESB,54436,2000,11.82,7.69,,7.69,,1.51,,1.51,,90.95,79.13
LESB,54436,2100,12,7.74,,7.74,,1.55,,1.55,,91.13,79.13
LESB,54436,2200,12.18,7.81,,7.81,,1.58,,1.58,,91.31,79.13
LESB,54436,2300,12.36,7.9,,7.9,,1.62,,1.62,,91.49,79.13
LESB,54436,2400,12.53,7.98,,7.98,,1.65,,1.65,,91.66,79.13
LESB,54436,2500,12.69,8,,8,,1.69,,1.69,,91.82,79.13
LESB,54436,2600,12.85,8.04,,8.04,,1.72,,1.72,,91.98,79.13
LESB,54436,2700,13.01,8.02,,8.02,,1.75,,1.75,,92.14,79.13
LESB,54436,2800,13.16,8.11,,8.11,,1.79,,1.79,,92.29,79.13
LESB,54436,2900,13.31,8.19,,8.19,,1.82,,1.82,,92.44,79.13
LESB,54436,3000,13.45,8.26,,8.26,,1.84,,1.84,,92.58,79.13
LESB,54436,3100,13.6,8.33,,8.33,,1.87,,1.87,,92.73,79.13
LESB,54436,3200,13.74,8.4,,8.4,,1.9,,1.9,,92.87,79.13
