Reach,River Sta,Q Total,Max Chl Dpth,Hydr Depth,Hydr Depth L,Hydr Depth C,Hydr Depth R,Vel Total,Vel Left,Vel Chnl,Vel Right,W.S. Elev,Min Ch El
,,(cfs),(ft),(ft),(ft),(ft),(ft),(ft/s),(ft/s),(ft/s),(ft/s),(ft),(ft)
Rch2B-3_RM216.1,455717,4300,13.42,13.42,,13.42,,0.96,,0.96,,151.02,137.6
Rch2B-3_RM216.1,455717,4400,13.53,13.53,,13.53,,0.97,,0.97,,151.13,137.6
Rch2B-3_RM216.1,455717,4500,13.64,13.64,,13.64,,0.98,,0.98,,151.24,137.6
,,,,,,,,,,,,,
Rch2B-3_RM216.1,455714,100,1.72,1.72,,1.72,,0.17,,0.17,,139.32,137.6
Rch2B-3_RM216.1,455714,200,2.58,2.58,,2.58,,0.23,,0.23,,140.18,137.6
Rch2B-3_RM216.1,455714,300,3.27,3.27,,3.27,,0.27,,0.27,,140.87,137.6
Rch2B-3_RM216.1,455714,400,3.85,3.85,,3.85,,0.31,,0.31,,141.45,137.6
Rch2B-3_RM216.1,455714,500,4.37,4.37,,4.37,,0.34,,0.34,,141.97,137.6
Rch2B-3_RM216.1,455714,600,4.85,4.85,,4.85,,0.37,,0.37,,142.45,137.6
Rch2B-3_RM216.1,455714,700,5.29,5.29,,5.29,,0.4,,0.4,,142.89,137.6
Rch2B-3_RM216.1,455714,800,5.7,5.7,,5.7,,0.42,,0.42,,143.3,137.6
Rch2B-3_RM216.1,455714,900,6.1,6.1,,6.1,,0.44,,0.44,,143.7,137.6
Rch2B-3_RM216.1,455714,1000,6.49,6.49,,6.49,,0.46,,0.46,,144.09,137.6
Rch2B-3_RM216.1,455714,1100,6.86,6.86,,6.86,,0.48,,0.48,,144.46,137.6
Rch2B-3_RM216.1,455714,1200,7.21,7.21,,7.21,,0.5,,0.5,,144.81,137.6
Rch2B-3_RM216.1,455714,1300,7.53,7.53,,7.53,,0.52,,0.52,,145.13,137.6
Rch2B-3_RM216.1,455714,1400,7.85,7.85,,7.85,,0.53,,0.53,,145.45,137.6
Rch2B-3_RM216.1,455714,1500,8.17,8.17,,8.17,,0.55,,0.55,,145.77,137.6
Rch2B-3_RM216.1,455714,1600,8.47,8.47,,8.47,,0.56,,0.56,,146.07,137.6
Rch2B-3_RM216.1,455714,1700,8.76,8.76,,8.76,,0.58,,0.58,,146.36,137.6
