Reach,River Sta,Q Total,Max Chl Dpth,Hydr Depth,Hydr Depth L,Hydr Depth C,Hydr Depth R,Vel Total,Vel Left,Vel Chnl,Vel Right,W.S. Elev,Min Ch El
,,(cfs),(ft),(ft),(ft),(ft),(ft),(ft/s),(ft/s),(ft/s),(ft/s),(ft),(ft)
Connect,107610,3600,10.18,3.31,0.8,4.95,0.51,3.54,1.24,3.71,0.75,104.87,94.69
Connect,107610,3700,10.25,3.32,0.81,5.01,0.56,3.56,1.26,3.76,0.8,104.94,94.69
Connect,107610,3800,10.32,3.35,0.83,5.08,0.61,3.59,1.28,3.8,0.84,105.01,94.69
Connect,107610,3900,10.38,3.33,0.85,5.15,0.63,3.61,1.3,3.84,0.87,105.07,94.69
Connect,107610,4000,10.45,3.35,0.87,5.22,0.68,3.63,1.32,3.88,0.91,105.14,94.69
Connect,107610,4100,10.52,3.36,0.89,5.29,0.72,3.64,1.35,3.91,0.94,105.21,94.69
Connect,107610,4200,10.59,3.36,0.91,5.35,0.75,3.66,1.37,3.95,0.98,105.28,94.69
Connect,107610,4300,10.65,3.35,0.93,5.41,0.78,3.67,1.4,3.99,1,105.34,94.69
Connect,107610,4400,10.71,3.3,0.96,5.48,0.78,3.69,1.42,4.02,1.02,105.4,94.69
Connect,107610,4500,10.78,3.29,0.9,5.54,0.81,3.7,1.44,4.05,1.05,105.47,94.69
,,,,,,,,,,,,,
Connect,107607,100,4.74,4.32,,4.32,,1.16,,1.16,,99.68,94.94
Connect,107607,200,5.23,4.81,,4.81,,2.08,,2.08,,100.17,94.94
Connect,107607,300,5.7,0.97,,0.97,,1.78,,1.78,,100.64,94.94
Connect,107607,400,6.02,1.28,,1.28,,1.78,,1.78,,100.96,94.94
Connect,107607,500,6.31,1.55,,1.55,,1.82,,1.82,,101.25,94.94
Connect,107607,600,6.56,1.8,,1.8,,1.87,,1.87,,101.5,94.94
Connect,107607,700,6.8,1.99,,2.02,0.12,1.93,,1.93,0.18,101.74,94.94
Connect,107607,800,7,2.18,,2.22,0.3,2,,2,0.33,101.94,94.94
Connect,107607,900,7.18,2.35,,2.4,0.44,2.07,,2.08,0.43,102.12,94.94
Connect,107607,1000,7.35,2.51,,2.56,0.55,2.15,,2.16,0.51,102.29,94.94
Connect,107607,1100,7.5,2.65,,2.71,0.66,2.23,,2.24,0.58,102.44,94.94
Connect,107607,1200,7.65,2.79,,2.85,0.75,2.31,,2.32,0.64,102.59,94.94
Connect,107607,1300,7.79,2.91,,2.98,0.84,2.38,,2.4,0.7,102.73,94.94
Connect,107607,1400,7.91,3.03,,3.11,0.92,2.45,,2.47,0.75,102.85,94.94
Connect,107607,1500,8.04,3.14,,3.23,0.99,2.53,,2.55,0.81,102.98,94.94
Connect,107607,1600,8.16,3.25,,3.34,1.06,2.6,,2.62,0.85,103.1,94.94
Connect,107607,1700,8.27,3.35,0.06,3.45,1.13,2.66,0.16,2.69,0.9,103.21,94.94
Connect,107607,1800,8.38,3.44,0.11,3.56,1.2,2.73,0.26,2.76,0.94,103.32,94.94
Connect,107607,1900,8.49,3.53,0.16,3.67,1.26,2.8,0.34,2.83,0.98,103.43,94.94
Connect,107607,2000,8.59,3.6,0.21,3.77,1.16,2.86,0.41,2.89,1.02,103.53,94.94
Connect,107607,2100,8.69,3.63,0.26,3.87,0.99,2.92,0.48,2.96,1.04,103.63,94.94
Connect,107607,2200,8.78,3.64,0.31,3.97,0.81,2.98,0.54,3.02,1.05,103.72,94.94
Connect,107607,2300,8.88,3.62,0.36,4.06,0.69,3.04,0.6,3.09,1.03,103.82,94.94
Connect,107607,2400,8.97,3.54,0.41,4.15,0.56,3.09,0.66,3.15,0.61,103.91,94.94
Connect,107607,2500,9.06,3.61,0.47,4.24,0.63,3.14,0.73,3.21,0.67,104,94.94
Connect,107607,2600,9.15,3.68,0.53,4.33,0.7,3.18,0.79,3.27,0.72,104.09,94.94
Connect,107607,2700,9.23,3.74,0.59,4.42,0.76,3.23,0.85,3.32,0.77,104.17,94.94
Connect,107607,2800,9.32,3.57,0.64,4.5,0.6,3.28,0.91,3.38,0.81,104.26,94.94
Connect,107607,2900,9.4,3.53,0.69,4.58,0.59,3.32,0.96,3.43,0.83,104.34,94.94
Connect,107607,3000,9.48,3.49,0.74,4.66,0.6,3.36,1.01,3.49,0.84,104.42,94.94
Connect,107607,3100,9.55,3.42,0.79,4.73,0.58,3.39,1.06,3.54,0.85,104.49,94.94
Connect,107607,3200,9.63,3.41,0.83,4.81,0.61,3.42,1.11,3.59,0.86,104.57,94.94
Connect,107607,3300,9.7,3.36,0.87,4.89,0.62,3.45,1.15,3.64,0.87,104.64,94.94
